r	 fullpivoting	 partialpivoting	 mimicrypivoting
71.0	2.5199427019096007e-8	2.9620564219761078e-8	5.611631919158735e-8
72.0	2.3707214106648218e-8	2.7125834820960503e-8	5.696125350783109e-8
73.0	1.5014031498877284e-8	2.4152314066339625e-8	5.4268375528982965e-8
74.0	1.4285558647629481e-8	2.36474619679794e-8	3.699112310022098e-8
75.0	1.4333462241770464e-8	2.2297720874768335e-8	2.743788628234823e-8
76.0	1.2515518979920857e-8	1.5964390686294276e-8	2.3433676497835524e-8
77.0	9.294867689256845e-9	1.5297654219851678e-8	2.0495511574531344e-8
78.0	9.490407178546717e-9	1.1460021271552235e-8	1.7484108560837135e-8
79.0	6.973333246603588e-9	9.407573026323587e-9	1.9141168812459828e-8
80.0	5.816898342035449e-9	8.203862928623172e-9	1.5468473780360693e-8
81.0	5.627159460475646e-9	7.753952630799949e-9	1.486656287136592e-8
82.0	4.115025613648716e-9	5.906775148923337e-9	9.851802025751675e-9
83.0	4.115074682831483e-9	6.371293906555619e-9	9.078682704818294e-9
84.0	3.850114583931278e-9	5.7699682551005325e-9	9.369604066819885e-9
85.0	3.3352740866251126e-9	4.490974557044278e-9	8.66453657729661e-9
86.0	2.242947733016641e-9	3.915400478716936e-9	6.2386772288372484e-9
87.0	1.4348781280014947e-9	3.6500488948018704e-9	6.6710833250847375e-9
88.0	1.30209182241905e-9	3.232860302179858e-9	6.537898511267742e-9
89.0	1.181646879256459e-9	2.499199752904963e-9	6.1872260617591255e-9
90.0	1.237862831154381e-9	2.531888119300426e-9	4.923730648140595e-9
91.0	1.1343338021360861e-9	1.9037710772725487e-9	3.6078994327613755e-9
92.0	8.036782927906966e-10	1.2634437665348128e-9	2.924125442524524e-9
93.0	7.558323605799826e-10	1.1952447886545222e-9	2.4016493276787504e-9
94.0	6.805210064109275e-10	9.85958011605423e-10	2.0614216369473946e-9
95.0	5.631960087580775e-10	8.32800932489187e-10	1.626883749475564e-9
96.0	4.723349582956459e-10	7.519014745740219e-10	1.5215182814788183e-9
97.0	4.6487853816101487e-10	5.936495807225256e-10	1.6347885149616273e-9
98.0	3.6367265821714853e-10	6.414162204049238e-10	2.0618759591920473e-9
99.0	3.2535963351533067e-10	4.804847770552511e-10	2.032579287818551e-9
100.0	2.893573472444694e-10	4.1233723769425106e-10	1.6405071585363824e-9
101.0	2.448246066424799e-10	3.796079531353377e-10	1.3081360757590244e-9
102.0	2.3790590710107227e-10	3.8416395311816244e-10	1.0970461186448051e-9
103.0	1.734139045132894e-10	4.310991381633804e-10	8.273235258135586e-10
104.0	1.4456015302035192e-10	3.9305120409913036e-10	6.511823881987908e-10
105.0	1.4311606128272598e-10	3.450698835603762e-10	7.3431901367399e-10
106.0	1.2784616489549726e-10	3.210439084704562e-10	3.659670548232763e-10
107.0	1.1732329444905515e-10	2.73066476433125e-10	2.7753992307707146e-10
108.0	9.517269403413256e-11	2.6213500027046665e-10	2.3359216836271707e-10
109.0	8.215744823294948e-11	3.3974023891518043e-10	2.3040112095886275e-10
110.0	6.995799299340097e-11	1.6777473737086978e-10	2.0239585288415364e-10
111.0	6.807864634257847e-11	1.47870895784079e-10	1.70000576380762e-10
112.0	6.784033902090813e-11	1.4727010578132723e-10	1.8422177258980028e-10
113.0	4.681431871659229e-11	1.5158427351194744e-10	1.2415759960380259e-10
114.0	4.5458038266087765e-11	9.733161603712244e-11	1.098468073994769e-10
115.0	3.5741623088198466e-11	7.762629106578127e-11	1.3181912264531874e-10
116.0	3.4891662368069935e-11	4.950602405945438e-11	9.604263133978948e-11
117.0	2.564071294708284e-11	5.0132072540610745e-11	8.257026830143253e-11
118.0	2.3182090517631002e-11	4.951400673052296e-11	7.052724552516179e-11
119.0	2.333546714910341e-11	4.330821689041497e-11	7.686538998877185e-11
120.0	1.610265004800969e-11	3.512662374726323e-11	5.970563378605041e-11
121.0	1.530699550092616e-11	4.654967850184433e-11	6.287625606605796e-11
122.0	1.580875248424741e-11	2.5174698502494664e-11	6.278893317283964e-11
123.0	1.539038136643023e-11	2.4928223402170096e-11	7.101760595172414e-11
124.0	1.4545225129908404e-11	1.751635020169351e-11	5.57512262287792e-11
125.0	1.2809081027649326e-11	1.7970654111271515e-11	6.523086971121776e-11
126.0	1.0428395321376361e-11	1.699285512415427e-11	7.139891790141181e-11
127.0	9.87489003241088e-12	1.5491630191793335e-11	5.1990549038487034e-11
128.0	8.682424067206618e-12	1.3420184625860623e-11	5.4547169572400327e-11
129.0	8.7658495972394e-12	1.224319977210429e-11	5.921147439950283e-11
130.0	6.362210063638131e-12	1.03101997653646e-11	2.1137306918031782e-11
131.0	6.45349927919053e-12	1.114349968697477e-11	2.106877141935209e-11
132.0	3.999271343192404e-12	1.0511440468616033e-11	2.0889855752932537e-11
133.0	3.813916587077776e-12	9.154449002994263e-12	1.7877956248343786e-11
134.0	3.6970946361336966e-12	6.81345777910039e-12	1.707741055649571e-11
135.0	3.4653163211498966e-12	6.4371054018128725e-12	1.967874387808772e-11
136.0	3.0065479036230046e-12	6.601659259073697e-12	1.976855135505556e-11
137.0	3.0325089765338875e-12	6.839125121873787e-12	1.4067230972995541e-11
138.0	2.4579719724874573e-12	6.1985488377384265e-12	1.4315444214315647e-11
139.0	2.1574200081642007e-12	5.871790286234653e-12	1.2221927262231678e-11
